applicants_organisations_only, applicants_use_me, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_code, priority_country_name, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, title, title_phrases, url
"","CHOE JONG PIL","0","","","1","CHOE JONG PIL","B64C27/08; B64C39/02; B64D1/02; B64D47/00","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft","ìœ íˆ¬ë¸Œ ë™ì˜ìƒ (https://www.youtube.com/watch?v=K6020dXuy9E)","KR","Republic of Korea","KR 20150000368 A","2015","KR","Republic of Korea","2015-5-21","KR 101522516 B1","2015","The Life-saving Apparatus Using Drones","Life-saving Apparatus","https://lens.org/148-289-450-255-690"
"KAWADA KOGYO KK","KAWADA KOGYO KK","0","","","1","KANEHIRA TOKUYUKI; NAKAHATA MITSUAKI; NAKAMURA MASARU","B64C3/56; B64C39/02; B64C39/10; B64D47/06","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft","","JP","Japan","JP 2011117524 A","2011","JP","Japan","2012-12-13","JP 2012245832 A","2012","Wing Structure Of Small Size Drone Airplane","Small Size Drone Airplane; wing Structure","https://lens.org/098-444-085-697-516"
"AIRBUS GROUP SAS","AIRBUS GROUP SAS","0","B64C13/42; F15B15/02; F15B18/00; F15B2211/8757","","3","PAULMANN GREGOR","B64C13/42; F15B18/00","Aircraft; Fluid Pressure Actuators","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; F15B: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Fluid-Pressure Actuators; Hydraulics Or Pneumatics In General -> Systems Acting By Means Of Fluids In General; Fluid-Pressure Actuators, E.G. Servomotors; Details Of Fluid-Pressure Systems, Not Otherwise Provided For","","EP","European Patent Office","EP 13400019 A","2013","EP","European Patent Office","2015-3-18","EP 2848521 A1","2015","Flexible Response Secured Mechanical Balancing For Multiple Control Actuators With A Common Output","Common Output; flexible Response Secured Mechanical Balancing; Multiple Control Actuators","https://lens.org/014-379-417-980-209"
"KOREA AEROSPACE RES INST","KOREA AEROSPACE RES INST","0","","","1","YOO CHANG SUN","B63B35/50; B64C25/06; B64F1/00","Waterborne Vessels/Ships; Aircraft","B63B: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Ships Or Other Waterborne Vessels; Equipment For Shipping; B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64F: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For","","KR","Republic of Korea","KR 20130141189 A","2013","KR","Republic of Korea","2015-5-28","KR 20150057619 A","2015","Means For Take-off And Landing Of Vertical Take-off And Landing Miniature Drone","Landing Miniature Drone; vertical Take-off","https://lens.org/029-664-004-370-012"
"L LIVERMORE NAT SECURITY LLC","L LIVERMORE NAT SECURITY LLC","0","B08B15/02; B08B7/0042; B23K26/0884; B23K26/36; G01N1/04; G01N2001/021; G01N2001/028; G01T7/00; G01T7/02; G01V5/0091; G01V5/02; G21F9/005","10.1063/1.4808333","4","DARDENNE YVES M; MARIELLA JR RAYMOND P","G01J1/42; G01N1/02; G01T7/02; G01V5/00; G01V5/02","Measuring; Geophysics","G01J: Physics -> Measuring; Testing -> Measurement Of Intensity, Velocity, Spectral Content, Polarisation, Phase Or Pulse Characteristics Of Infra-Red, Visible Or Ultra-Violet Light; Colorimetry; Radiation Pyrometry; G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties; G01T: Physics -> Measuring; Testing -> Measurement Of Nuclear Or X-Radiation; G01V: Physics -> Measuring; Testing -> Geophysics; Gravitational Measurements; Detecting Masses Or Objects; Tags","Mariella, Jr., et al., ""Laser Comminution of Submerged Samples,"" J. of Applied Physics, vol. 114, 2013, pp. 014904-1-014904-13.","US","United States of America","US 201461924661 P","2014","US","United States of America","2016-2-2","US 9250353 B2","2016","Nuclear Radiation Cleanup And Uranium Prospecting","nuclear Radiation Cleanup","https://lens.org/130-852-789-361-069"
"GEOFRENZY INC","GEOFRENZY INC; JONES BENJAMIN T","0","G06F17/30241; G06F21/604; H04L12/2816; H04L61/1582; H04L61/2007; H04L61/6059; H04L61/609; H04L67/02; H04L67/2814; H04W12/08; H04W4/021","","3","JONES BENJAMIN T","G06F15/173; G06F17/30; H04L29/12; H04W4/02","Computing; Electric Communication/Television; Wireless Communication Networks","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; H04L: Electricity -> Electric Communication Technique -> Transmission Of Digital Information, E.G. Telegraphic Communication; H04W: Electricity -> Electric Communication Technique -> Wireless Communication Networks","","US","United States of America","US 201514728259 A","2015","US","United States of America","2016-3-8","US 9280559 B1","2016","Registrar Mapping Toolkit For Geofences","registrar Mapping Toolkit","https://lens.org/140-856-716-522-416"
"HARSCO CORP","HARSCO CORP","0","E01B27/12; E01B27/16; E01B27/20; E01B37/00; F16H25/08; F16H33/20; Y10T74/18296","","2","ALFORD ROBERT","E01B29/24","Road Construction","E01B: Fixed Constructions -> Construction Of Roads, Railways, Or Bridges -> Permanent Way; Permanent-Way Tools; Machines For Making Railways Of All Kinds","","US","United States of America","US 201361768850 P","2013","WO","WIPO (PCT)","2014-8-28","WO 2014/130731 A1","2014","Device For Generating Vertical Force With Rotating Mass","Rotating Mass; Vertical Force","https://lens.org/017-023-173-545-826"
"ERICSSON TELEFON AB L M","ERICSSON TELEFON AB L M","0","H04W16/32; H04W24/02; H04W88/08","","1","DJORDJEVIC BRANKO; DUDDA TORSTEN; POTENTAS WOJCIECH","H04W16/24; H04W24/02; H04W88/08","Wireless Communication Networks","H04W: Electricity -> Electric Communication Technique -> Wireless Communication Networks","","EP","European Patent Office","EP 2014055394 W","2014","WO","WIPO (PCT)","2015-9-24","WO 2015/139733 A1","2015","Provision Of Coverage For A Wireless Communication Network By Using Moving Base Stations On Robots Or Drones","Moving Base Stations; Wireless Communication Network","https://lens.org/131-802-225-403-041"
"ELIX WIRELESS CHARGING SYSTEMS INC","ELIX WIRELESS CHARGING SYSTEMS INC","0","H02J50/10","","1","JAMIESON BRICE; TIKHOMOLOV VITALI","","","","","US","United States of America","US 201462038102 P","2014","WO","WIPO (PCT)","2016-2-18","WO 2016/023122 A1","2016","Methods And Apparatus For Magnetically Coupled Wireless Power Transfer","Coupled Wireless Power Transfer","https://lens.org/159-075-116-778-053"
"BISCOTTI INC","BISCOTTI INC","1","G06F3/017; H04L67/025; H04L67/1093; H04L67/125; H04L67/141; H04N21/42203; H04N21/4223; H04N21/43615; H04N21/44008; H04N21/44218; H04N21/4542; H04N21/4755; H04N5/76","","24","AHMED SYED NADEEM; SHOEMAKE MATTHEW B","H04L29/08","Electric Communication/Television","H04L: Electricity -> Electric Communication Technique -> Transmission Of Digital Information, E.G. Telegraphic Communication","","US","United States of America","US 201261737506 P; US 201361759621 P; US 201361858518 P; US 201361872603 P; US 201361874903 P; US 201361877928 P; US 201414170499 A; US 201414341009 A; US 201414464435 A; US 201414472133 A; US 201414479169 A; US 201414539106 A; US 201461987304 P; US 201514702390 A","2012; 2013; 2014; 2015","US","United States of America","2015-8-27","US 2015/0244807 A1","2015","Virtual Remote Functionality","virtual Remote Functionality","https://lens.org/195-890-188-245-99X"
"QUALCOMM INC","QUALCOMM INC","1","G06F3/0481; G06F9/4451; G06F9/466; G06F9/542","","2","DENG FAN; HUANG PENGJUN; KANDHADAI ANANTHAPADMANABHAN ARASANIPALAI; MA LEI; ZHENG BAOZHONG","G06F9/46; G06F9/54","Computing","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing","","US","United States of America","US 201462000395 P; US 201462000904 P","2014","US","United States of America","2015-11-19","US 2015/0331711 A1","2015","Systems And Methods For Context-aware Application Control","Context-aware Application Control","https://lens.org/118-077-359-499-798"
"MEADOW HILLS LLC","MEADOW HILLS LLC","0","G06F21/556; G06F21/577; H04L63/1416; H04L63/1433; H04W12/08; H04W12/12","","1","CLARK DAVID; STRAND JOHN; THYER JONATHAN","G06F21/55; G06F21/57; H04L29/06; H04W12/08","Computing; Electric Communication/Television; Wireless Communication Networks","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; H04L: Electricity -> Electric Communication Technique -> Transmission Of Digital Information, E.G. Telegraphic Communication; H04W: Electricity -> Electric Communication Technique -> Wireless Communication Networks","","US","United States of America","US 201462009534 P","2014","US","United States of America","2015-12-10","US 2015/0358345 A1","2015","Active Attack Detection System","active Attack Detection System","https://lens.org/135-892-134-835-663"
"","CARROLL DAVID W","0","B64C11/20; B64C2201/042; B64C2201/108; B64C39/024; B64D27/24; B64D35/02","","1","CARROLL DAVID W","B64C39/02; B64D35/02","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft","","US","United States of America","US 201461945614 P","2014","US","United States of America","2016-3-10","US 2016/0068266 A1","2016","Rotary Propeller Drone With Integrated Power Storage","Integrated Power Storage; rotary Propeller Drone","https://lens.org/001-476-634-995-821"
"","MANITTA SALVATORE","0","B64F1/00","","1","MANITTA SALVATORE","B64C39/02; B64F1/00","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64F: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For","","US","United States of America","US 201462021928 P","2014","US","United States of America","2016-3-10","US 2016/0068277 A1","2016","Unmanned Aircraft Systems Ground Support Platform","unmanned Aircraft Systems Ground Support Platform","https://lens.org/132-444-533-759-161"
"CATERPILLAR INC","CATERPILLAR INC","0","B60L11/1814; B60L11/1822; H02J2007/0059; H02J7/0052; H02J7/0063; H02J7/345","","1","CHEN QIANG; GE XINYU; JACOBSON EVAN E","B60L11/18; B64C39/02; H02J7/00","Vehicles; Aircraft; Generating Electricity","B60L: Performing Operations; Transporting -> Vehicles In General -> Propulsion Of Electrically-Propelled Vehicles; Supplying Electric Power For Auxiliary Equipment Of Electrically-Propelled Vehicles; Electrodynamic Brake Systems For Vehicles In General; Magnetic Suspension Or Levitation For Vehicles; Monitoring Operating Variables Of Electrically-Propelled Vehicles; Electric Safety Devices For Electrically-Propelled Vehicles; B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; H02J: Electricity -> Generation, Conversion, Or Distribution Of Electric Power -> Circuit Arrangements Or Systems For Supplying Or Distributing Electric Power; Systems For Storing Electric Energy","","US","United States of America","US 201514982069 A","2015","US","United States of America","2016-4-21","US 2016/0107531 A1","2016","System For Recovering Electrical Energy From Machine","Recovering Electrical Energy","https://lens.org/173-431-247-580-667"
"","MANITTA SALVATORE","0","A47G29/1209; A47G29/14; A47G29/20; B64C2201/128; B64F1/32","","1","MANITTA SALVATORE","A47G29/122; B64F1/32","Furniture; Aircraft","A47G: Human Necessities -> Furniture; Domestic Articles Or Appliances; Coffee Mills; Spice Mills; Suction Cleaners In General -> Household Or Table Equipment; B64F: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For","","US","United States of America","US 201462088590 P","2014","US","United States of America","2016-6-9","US 2016/0157653 A1","2016","Apparatus And Method For An Unmanned Aircraft Systems Mail Delivery Receptacle","Unmanned Aircraft Systems Mail Delivery Receptacle","https://lens.org/059-171-819-692-613"
"","LIM JAE HYUN","0","B01D1/0005; B01D1/0058; B63B2035/4473; B63B21/50; C01D3/06","","1","LIM JAE HYUN","B01D1/00; B63B35/00; B63B39/02; C01D3/06","Separation/Mixing; Waterborne Vessels/Ships; Inorganic Chemistry","B01D: Performing Operations; Transporting -> Physical Or Chemical Processes Or Apparatus In General -> Separation; B63B: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Ships Or Other Waterborne Vessels; Equipment For Shipping; C01D: Chemistry; Metallurgy -> Inorganic Chemistry -> Compounds Of Alkali Metals, I.E. Lithium, Sodium, Potassium, Rubidium, Caesium, Or Francium","","US","United States of America","US 201562186175 P; US 201662280847 P","2015; 2016","US","United States of America","2016-6-9","US 2016/0158665 A1","2016","Floating Salt Farm","floating Salt Farm","https://lens.org/016-590-794-162-89X"
"","HOMEN PASTOR PERAFAN","0","A01G15/00; B64C2201/128; B64C39/02; B64C39/024","","2","HOMEN PASTOR PERAFAN","A01G15/00; B64C39/02; G01W1/00","Agriculture; Aircraft; Meteorology","A01G: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Horticulture; Cultivation Of Vegetables, Flowers, Rice, Fruit, Vines, Hops, Or Seaweed; Forestry; Watering; B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; G01W: Physics -> Measuring; Testing -> Meteorology","","US","United States of America","US 201414544349 A","2014","US","United States of America","2016-6-30","US 2016/0183480 A1","2016","Invention To Interrupt, Dissolve Or Destroy A Tornado","","https://lens.org/074-359-830-695-418"
"OBSHESTVO S OGRANICHENNOJ OTVETSTVENNOSTJU PARAFARM","OBSHESTVO S OGRANICHENNOJ OTVETSTVENNOSTJU PARAFARM","0","A23F5/14; A23F5/40; A23F5/44; A23L2/39; A23L2/52; A23L2/60; A23L21/20; A61K35/64; A61K35/642; A61K9/0053","","11","ELISTRATOV KONSTANTIN GENNADIEVICH; ELISTRATOVA JULIA ANATOLJEVNA; ELISTRATOVA TATIANA VIKTOROVNA; HOMYKOVA IRINA VLADIMIROVNA; KURUS NATALIA VYACHESLAVOVNA; TRIFONOV VYACHESLAV NIKOLAEVICH","A23F5/00; A23F5/44; A23L1/076; A23L1/30","Foodstuffs","A23F: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Coffee; Tea; Their Substitutes; Manufacture, Preparation, Or Infusion Thereof; A23L: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j; Their Preparation Or Treatment, E.G. Cooking, Modification Of Nutritive Qualities, Physical Treatment; Preservation Of Foods Or Foodstuffs, In General","","RU","Russian Federation","RU 2011128763 A","2011","CA","Canada","2013-1-10","CA 2840708 A1","2013","Coffee Drink","coffee Drink","https://lens.org/016-628-707-607-485"
"OBSHESTVO S OGRANICHENNOJ OTVETSTVENNOSTJU PARAFARM","OBSHESTVO S OGRANICHENNOJ OTVETSTVENNOSTJU PARAFARM","0","A23K10/30; A23K20/10; A23K50/40; A23L21/20; A23L33/10; A23L33/105; A23V2002/00; A23V2200/306; A61K2300/00; A61K31/202; A61K31/353; A61K35/64; A61K36/00; A61K36/288; A61K45/06","","12","ELISTRATOV KONSTANTIN GENNADIEVICH; ELISTRATOVA JULIA ANATOLJEVNA; ELISTRATOVA TATIANA VIKTOROVNA; HOMYKOVA IRINA VLADIMIROVNA; KURUS NATALIA VYACHESLAVOVNA; TRIFONOV VYACHESLAV NIKOLAEVICH","A23L1/00; A61K31/352; A61K35/64; A61K36/185; A61P19/02; A61P19/04; A61P19/10","Foodstuffs; Medical","A23L: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j; Their Preparation Or Treatment, E.G. Cooking, Modification Of Nutritive Qualities, Physical Treatment; Preservation Of Foods Or Foodstuffs, In General; A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations","","RU","Russian Federation","RU 2011127494 A","2011","CA","Canada","2013-1-10","CA 2840895 A1","2013","Composition For Maintaining Bone Health And For Treating Osteoarthritis And Osteoarthrosis Of The Joints","Bone Health","https://lens.org/065-494-916-666-154"
